"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.helpers.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 16, 81
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.module.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.scheduler.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 4, 23, 121
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.service.ts", "TypeScript", 0, 285, 0, 0, 0, 0, 0, 0, 0, 30, 94, 409
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.types.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\dto\task.dto.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 13, 52
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.controller.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 6, 10, 76
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.service.ts", "TypeScript", 0, 361, 0, 0, 0, 0, 0, 0, 0, 54, 92, 507
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\dto\user.dto.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.controller.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.service.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.service.ts", "TypeScript", 0, 213, 0, 0, 0, 0, 0, 0, 0, 12, 53, 278
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\prisma.service.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\supabase.provider.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\test\app.e2e-spec.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\tsconfig.json", "JSON with Comments", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
